"CMPD_CHEMBLID","ASSAY_CHEMBLID","CANONICAL_SMILES","STANDARD_TYPE","RELATION","STANDARD_VALUE","STANDARD_UNITS","MOLWEIGHT","ALOGP","PSA","STABLE"
"CHEMBL1682436","CHEMBL1687058","C[C@@H]1[C@@H](O)C(C)(C)Nc2c(F)cc(c(Cl)c12)c3cccc4cc[nH]c34","T1/2","=","0.25","hr","358.84","4.79","48.05","0"
"CHEMBL1682441","CHEMBL1687058","C[C@@H]1[C@@H](O)C(C)(C)Nc2cc(F)c(c(F)c12)c3cccc4cc[nH]c34","T1/2","=","0.8","hr","342.38","4.33","48.05","1"
"CHEMBL2402276","CHEMBL2404838","C[C@@H]1C[C@]23OC(=C(C)C2=O)CC(C)(C)\C=C\C(=O)\C(=C/C3=C1)\C","T1/2","=","0.1","hr","312.4","3.89","43.37","0"
"CHEMBL3651966","CHEMBL3750372","C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F","T1/2","=","1.767","hr","440.46","4.22","80.89","1"
"CHEMBL3651953","CHEMBL3750372","C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3ccc(F)c(n3)c4ccccc4F","T1/2",">","3","hr","422.47","4.02","80.89","1"
"CHEMBL3676300","CHEMBL3750372","C[C@@H]1C[C@H](N)C[C@@H](C1)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F","T1/2",">","3","hr","428.5","3.6","109.13","1"
"CHEMBL3747545","CHEMBL3750372","C[C@@H]1C[C@H](N)CN(C1)c2ccncc2NC(=O)c3ccc(F)c(n3)c4c(F)cccc4F","T1/2","=","0.6667","hr","441.45","3.45","84.14","1"
"CHEMBL3746909","CHEMBL3750372","C[C@@H]1C[C@H](N)CN(C1)c2ccncc2NC(=O)c3ccc(F)c(n3)c4ccccc4F","T1/2","=","0.2167","hr","423.46","3.24","84.14","0"
"CHEMBL3676284","CHEMBL3750372","C[C@@H]1C[C@H](N)CN(C1)c2ccncc2NC(=O)c3csc(n3)c4c(F)cccc4F","T1/2","=","0.8167","hr","429.49","2.83","112.38","1"
"CHEMBL1933552","CHEMBL1935928","C[C@@H]1CCC(CN1)N2CC[C@@]3(C2)CN(C(=O)c4cc5ccc(F)cc5[nH]4)c6ccccc36","T1/2","=","0.7333","hr","432.53","3.92","51.37","1"
"CHEMBL2031486","CHEMBL2034511","C[C@@H]1CCCN([C@@H]1CNC(=O)c2cccc3oc(C)cc23)C(=O)c4nc(C)sc4c5ccccc5","T1/2","=","1","hr","487.61","4.77","103.68","1"
"CHEMBL2031493","CHEMBL2034511","C[C@@H]1CCCN([C@@H]1CNc2oc3ccccc3n2)C(=O)c4nc(C)sc4c5ccccc5","T1/2","=","1","hr","446.56","4.99","99.5","1"
"CHEMBL1917468","CHEMBL1917946","C[C@@H]1CCCN1CCc2ccc(cc2)C3=NN(C(=O)C=C3)c4ccc(F)cc4","T1/2",">","0.6667","hr","377.45","4.67","35.91","1"
"CHEMBL1917464","CHEMBL1917946","C[C@@H]1CCCN1CCc2ccc(cc2)C3=NN(C)C(=O)C=C3","T1/2",">","0.6667","hr","297.39","2.89","35.91","1"
"CHEMBL1951061","CHEMBL1953340","C[C@@H]1CCCN1CCCOc2ccc(cc2)C(=O)C(C)(C)N3CCOCC3","T1/2","=","0.1333","hr","374.52","3.08","42.01","0"
"CHEMBL2036635","CHEMBL2040494","C[C@@H]1CCCN1CCCOc2ccc(cc2)C(=O)CN3CCN(CC3)C(=O)c4ccccc4","T1/2",">","0.6667","hr","449.59","3.48","53.09","1"
"CHEMBL1951055","CHEMBL2040494","C[C@@H]1CCCN1CCCOc2ccc(cc2)C(=O)CN3CCOCC3","T1/2",">","0.6667","hr","346.46","2.29","42.01","1"
"CHEMBL1923729","CHEMBL1925971","C[C@@H]1CCCN1CCCOc2ccc(cc2)C3=CN(C)C(=O)C=C3","T1/2",">","0.6667","hr","326.43","2.38","32.78","1"
"CHEMBL1829472","CHEMBL1832617","C[C@@H]1CCCN1CCCOc2ccc(cc2)C3=NN(C(=O)C=C3)c4ncccn4","T1/2",">","0.6667","hr","391.47","3","70.92","1"
